,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object,estimated_diameter_mean
0,16657 (1993 UB),2024-10-27,59211040.81797724,57205.6657200173,False,16.55,1301.8321018813,2910.9850750981,False,2106.4085884897
1,189700 (2001 TA45),2024-10-27,56855437.43690013,21992.0374852041,False,19.18,387.7528303812,867.0416872003,False,627.39725879075
2,(2016 BF1),2024-10-27,3965309.089572554,33240.4050891207,False,25.4,22.1082810359,49.435619262,False,35.77195014895
3,(2017 HG1),2024-10-27,64271328.34553994,56681.8067289107,False,27.5,8.4053340207,18.7948982439,False,13.6001161323
4,(2018 HA1),2024-10-27,8580749.51862416,87039.9727595878,False,22.1,101.054341542,225.9643771094,False,163.50935932570002
5,(2019 VF5),2024-10-27,39557875.77093473,91900.0246901252,False,27.5,8.4053340207,18.7948982439,False,13.6001161323
6,(2020 AY1),2024-10-27,35262157.64498242,20691.9909322594,False,25.2,24.2412481101,54.2050786336,False,39.22316337185
7,(2020 SS4),2024-10-27,22040967.61934203,43606.6977931909,False,24.3,36.6906137531,82.0427064882,False,59.366660120649996
8,(2020 WT4),2024-10-27,32520804.92131028,39590.0606264011,False,27.79,7.3545308935,16.4452310205,True,11.899880957
9,(2022 AM5),2024-10-27,64522916.52314454,28137.6221832354,False,23.48,53.5247905613,119.6850701766,False,86.60493036895
10,(2022 CJ),2024-10-27,66149831.955645,79910.1635788181,False,26.76,11.8182990893,26.4265201422,False,19.12240961575
11,(2023 AP1),2024-10-27,57622233.109132506,28675.1006316122,False,25.64,19.7949758664,44.2629116503,False,32.028943758349996
12,(2023 FD4),2024-10-27,56175305.18705916,77643.5831071182,False,25.56,20.5378499518,45.924028604,False,33.2309392779
13,(2023 TN3),2024-10-27,74586326.8512311,63920.6211717097,False,27.51,8.3667150189,18.7085435306,False,13.53762927475
14,(2023 XH),2024-10-27,26503634.230573323,16782.1484781566,False,26.69,12.2054831812,27.2922900914,False,19.7488866363
15,(2024 SB6),2024-10-27,18411663.6035919,31803.1890337496,False,23.29,58.4191154186,130.6291132614,False,94.52411434
16,(2024 TT14),2024-10-27,52039599.69545965,37112.2859069456,False,22.725,75.7800655503,169.4493779098,False,122.61472173005001
17,(2024 UE2),2024-10-27,12396891.654861247,46763.3514341221,False,25.188,24.3755810315,54.5054561774,False,39.44051860445
18,(2024 UQ4),2024-10-27,10683728.143495653,70985.9607056068,False,25.543,20.6992674796,46.2849691688,False,33.4921183242
19,483560 (2004 BV1),2024-10-28,71688027.8456269,76318.0888179766,True,19.26,373.7274319137,835.6799428155,False,604.7036873646
20,523660 (2012 KY41),2024-10-28,20957003.563887216,53220.8317647978,False,18.18,614.5468212287,1374.1684676237,False,994.3576444262001
21,(2006 KA),2024-10-28,45193754.34273394,104304.4643106126,False,19.3,366.9061375314,820.4270648822,False,593.6666012068
22,(2009 JM1),2024-10-28,42998735.044913255,57201.1625244251,False,23.2,60.8912622106,136.1570015386,False,98.5241318746
23,(2015 AP44),2024-10-28,65203239.27091317,24539.2147674451,False,26.2,15.2951935344,34.201092472,False,24.7481430032
24,(2015 KN122),2024-10-28,63954995.85537592,76728.9490492378,False,20.39,222.1032822459,496.6380371276,False,359.37065968675
25,(2016 UO41),2024-10-28,61597939.6545843,95089.396548793,False,24.4,35.0392641108,78.3501764334,False,56.6947202721
26,(2017 HJ49),2024-10-28,13924429.880551336,52686.7032866911,False,23.07,64.6479825612,144.557283615,False,104.60263308809999
