,Features,Algoritmo,Acurácia,Precisão,Recall,F1-Score,AUC-ROC,Método
0,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.844,0.277,0.902,0.423,0.871,US - 0.5
1,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.829,0.268,0.978,0.421,0.899,US - 0.5
2,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.83,0.251,0.848,0.387,0.838,US - 0.5
3,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.827,0.263,0.957,0.412,0.887,US - 0.5
4,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.86,0.296,0.88,0.443,0.869,US - 0.6
5,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.846,0.287,0.957,0.441,0.898,US - 0.6
6,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.833,0.247,0.793,0.376,0.815,US - 0.6
7,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.849,0.283,0.902,0.431,0.874,US - 0.6
8,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.86,0.269,0.707,0.389,0.788,US - 0.7
9,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.859,0.29,0.848,0.432,0.854,US - 0.7
10,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.833,0.244,0.783,0.372,0.809,US - 0.7
11,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.866,0.291,0.772,0.423,0.822,US - 0.7
12,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.9,0.331,0.565,0.418,0.744,ADASYN - 0.5
13,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.897,0.346,0.696,0.462,0.803,ADASYN - 0.5
14,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.827,0.231,0.739,0.351,0.786,ADASYN - 0.5
15,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.904,0.355,0.641,0.457,0.781,ADASYN - 0.5
16,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.906,0.331,0.467,0.387,0.702,ADASYN - 0.6
17,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.893,0.338,0.728,0.462,0.816,ADASYN - 0.6
18,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.824,0.229,0.75,0.351,0.79,ADASYN - 0.6
19,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.897,0.323,0.576,0.414,0.747,ADASYN - 0.6
20,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.899,0.347,0.663,0.455,0.789,ADASYN - 0.7
21,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.894,0.351,0.793,0.487,0.847,ADASYN - 0.7
22,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.826,0.23,0.739,0.351,0.786,ADASYN - 0.7
23,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.894,0.324,0.62,0.425,0.766,ADASYN - 0.7
24,feat1,"DecisionTreeClassifier(class_weight='balanced', random_state=0)",0.925,0.395,0.348,0.37,0.656,class_weight
25,feat1,"RandomForestClassifier(class_weight='balanced', random_state=0)",0.943,0.68,0.185,0.291,0.589,class_weight
26,feat1,"LogisticRegression(class_weight='balanced', max_iter=200, random_state=0)",0.825,0.23,0.75,0.352,0.79,class_weight
27,feat1,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              class_weight='balanced', colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None, device=None,
              early_stopping_rounds=None, enable_categorical=False,
              eval_metric=None, feature_types=None, gamma=None,
              grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, ...)",0.937,0.5,0.217,0.303,0.601,class_weight
